001,Big_Blue > Mute_City_II > Port_Town_II
002,Mute_City_I > Port_Town_I > Death_Wind_II
003,Death_Wind_I > Mute_City_II > Red_Canyon_II
004,Sand_Ocean > Red_Canyon_I > Death_Wind_II
005,Silence > White_Land_II > Fire_Field
006,Big_Blue > White_Land_I > Port_Town_II
007,Mute_City_I > White_Land_II > Red_Canyon_II
008,Death_Wind_I > White_Land_I > Port_Town_II
009,Mute_City_I > Port_Town_I > Fire_Field
010,Sand_Ocean > Red_Canyon_I > Fire_Field
011,Silence > Red_Canyon_I > Death_Wind_II
012,Big_Blue > White_Land_II > Death_Wind_II
013,Sand_Ocean > White_Land_I > Mute_City_III
014,Silence > Mute_City_II > Port_Town_II
015,Sand_Ocean > Port_Town_I > Red_Canyon_II
016,Death_Wind_I > Red_Canyon_I > Fire_Field
017,Silence > Port_Town_I > Red_Canyon_II
018,Mute_City_I > Red_Canyon_I > Fire_Field
019,Big_Blue > White_Land_I > Mute_City_III
020,Silence > Red_Canyon_I > Port_Town_II
021,Big_Blue > Mute_City_II > Death_Wind_II
022,Sand_Ocean > Red_Canyon_I > Port_Town_II
023,Death_Wind_I > White_Land_I > Mute_City_III
024,Silence > White_Land_II > Fire_Field
025,Mute_City_I > White_Land_I > Red_Canyon_II
026,Sand_Ocean > Mute_City_II > Port_Town_II
027,Death_Wind_I > Port_Town_I > Fire_Field
028,Big_Blue > Port_Town_I > Red_Canyon_II
029,Mute_City_I > White_Land_I > Death_Wind_II
030,Big_Blue > White_Land_II > Mute_City_III
031,Sand_Ocean > Port_Town_I > Death_Wind_II
032,Silence > Mute_City_II > Red_Canyon_II
033,Death_Wind_I > White_Land_II > Mute_City_III
034,Big_Blue > White_Land_I > Death_Wind_II
035,Death_Wind_I > Red_Canyon_I > Mute_City_III
036,Sand_Ocean > White_Land_II > Port_Town_II
037,Death_Wind_I > Port_Town_I > Red_Canyon_II
038,next
