0,Big_Blue > Mute_City_II > Port_Town_II
1,Mute_City_I > Port_Town_I > Death_Wind_II
2,Death_Wind_I > Mute_City_II > Red_Canyon_II
3,Sand_Ocean > Red_Canyon_I > Death_Wind_II
4,Silence > White_Land_II > Fire_Field
5,Big_Blue > White_Land_I > Port_Town_II
6,Mute_City_I > White_Land_II > Red_Canyon_II
7,Death_Wind_I > White_Land_I > Port_Town_II
8,Mute_City_I > Port_Town_I > Fire_Field
9,Sand_Ocean > Red_Canyon_I > Fire_Field
10,Silence > Red_Canyon_I > Death_Wind_II
11,Big_Blue > White_Land_II > Death_Wind_II
12,Sand_Ocean > White_Land_I > Mute_City_III
13,Silence > Mute_City_II > Port_Town_II
14,Sand_Ocean > Port_Town_I > Red_Canyon_II
15,Death_Wind_I > Red_Canyon_I > Fire_Field
16,Silence > Port_Town_I > Red_Canyon_II
17,Mute_City_I > Red_Canyon_I > Fire_Field
18,Big_Blue > White_Land_I > Mute_City_III
19,Silence > Red_Canyon_I > Port_Town_II
20,Big_Blue > Mute_City_II > Death_Wind_II
21,Sand_Ocean > Red_Canyon_I > Port_Town_II
22,Death_Wind_I > White_Land_I > Mute_City_III
23,Silence > White_Land_II > Fire_Field
24,Mute_City_I > White_Land_I > Red_Canyon_II
25,Sand_Ocean > Mute_City_II > Port_Town_II
26,Death_Wind_I > Port_Town_I > Fire_Field
27,Big_Blue > Port_Town_I > Red_Canyon_II
28,Mute_City_I > White_Land_I > Death_Wind_II
29,Big_Blue > White_Land_II > Mute_City_III
30,Sand_Ocean > Port_Town_I > Death_Wind_II
31,Silence > Mute_City_II > Red_Canyon_II
32,Death_Wind_I > White_Land_II > Mute_City_III
33,Big_Blue > White_Land_I > Death_Wind_II
34,Death_Wind_I > Red_Canyon_I > Mute_City_III
35,Sand_Ocean > White_Land_II > Port_Town_II
36,Death_Wind_I > Port_Town_I > Red_Canyon_II
37,next
