000,Death_Wind_II <> Port_Town_II
001,mRed_Canyon_II <> mSand_Storm_II
002,Port_Town_II <> mRed_Canyon_II
003,mWhite_Land_I <> mSand_Storm_II
004,mDeath_Wind_II <> Red_Canyon_II
005,Death_Wind_II <> mWhite_Land_I
006,mPort_Town_II <> Sand_Storm_II
007,mRed_Canyon_II <> White_Land_I
008,mDeath_Wind_II <> Port_Town_II
009,Red_Canyon_II <> mSand_Storm_II
010,Port_Town_II <> Red_Canyon_II
011,mWhite_Land_I <> Sand_Storm_II
012,mDeath_Wind_II <> mRed_Canyon_II
013,Death_Wind_II <> White_Land_I
014,mPort_Town_II <> mSand_Storm_II
015,mRed_Canyon_II <> mWhite_Land_I
016,mDeath_Wind_II <> mPort_Town_II
017,Red_Canyon_II <> Sand_Storm_II
018,mPort_Town_II <> Red_Canyon_II
019,White_Land_I <> Sand_Storm_II
020,Death_Wind_II <> mRed_Canyon_II
021,mDeath_Wind_II <> White_Land_I
022,Port_Town_II <> mSand_Storm_II
023,Red_Canyon_II <> mWhite_Land_I
024,Death_Wind_II <> mPort_Town_II
025,mRed_Canyon_II <> Sand_Storm_II
026,mPort_Town_II <> mRed_Canyon_II
027,White_Land_I <> mSand_Storm_II
028,Death_Wind_II <> Red_Canyon_II
029,mDeath_Wind_II <> mWhite_Land_I
030,Port_Town_II <> Sand_Storm_II
031,Red_Canyon_II <> White_Land_I
032,next
